_id,device_type,make_model,serial,purchase_date,cover_type,Cover Type,cpu_type,ram,disk,storage,allocated_to,currently_location,rack,u_postion,vm,os,system_type,network,hostname,vlan_id,primary_ip,secondary_ip,subnet,gateway,mac_address,notes,details
1,Firewall,Cisco ASA 5510,JMX1402L13Q,,,,,,,,,ICS,,,,IOS,,,,405,172.16.0.2,,255.255.255.248,172.16.0.1,,ASDM: 172.16.205.254,admin / test
2,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.100,,255.255.255.0,,,,
3,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.101,,255.255.255.0,,,,
4,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.102,,255.255.255.0,,,,
5,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.103,,255.255.255.0,,,,
6,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.104,,255.255.255.0,,,,
7,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.105,,255.255.255.0,,,,
8,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.106,,255.255.255.0,,,,
9,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.107,,255.255.255.0,,,,
10,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.108,,255.255.255.0,,,,
11,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.109,,255.255.255.0,,,,
12,Quantum Primary ,NOE1 ,,,,,,,,,,,,,,,,,,101,172.16.1.11,,255.255.255.0,,,,
13,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.110,,255.255.255.0,,,,
14,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.111,,255.255.255.0,,,,
15,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.112,,255.255.255.0,,,,
16,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.113,,255.255.255.0,,,,
17,CRAC,,,,,,,,,,,,,,,,,,,101,172.16.1.114,,255.255.255.0,,,,
18,Quantum Standby ,NOE1 ,,,,,,,,,,,,,,,,,,101,172.16.1.12,,255.255.255.0,,,,
19,Quantum Primary ,NOE2 ,,,,,,,,,,,,,,,,,,101,172.16.1.13,,255.255.255.0,,,,
20,Quantum Standby ,NOE2 ,,,,,,,,,,,,,,,,,,101,172.16.1.14,,255.255.255.0,,,,
21,Quantum Primary ,NOE3 ,,,,,,,,,,,,,,,,,,101,172.16.1.15,,255.255.255.0,,,,
22,Quantum Standby ,NOE3 ,,,,,,,,,,,,,,,,,,101,172.16.1.16,,255.255.255.0,,,,
23,Quantum Primary ,NOE4(Spare) ,,,,,,,,,,,,,,,,,,101,172.16.1.17,,255.255.255.0,,,,
24,Quantum Standby ,NOE4(Spare) ,,,,,,,,,,,,,,,,,,101,172.16.1.18,,255.255.255.0,,,,
25,Quantum Primary ,Advantys ,,,,,,,,,,,,,,,,,,101,172.16.1.21,,255.255.255.0,,,,
26,Quantum Primary ,EGX(Spare) ,,,,,,,,,,,,,,,,,,101,172.16.1.22,,255.255.255.0,,,,
